city,attractionSite,description,image
الدرعية,مزرعة سمحان,اهتمام بأدق التفاصيل مع خدمات متكاملة في مزرعة سمحان الرائعة بالدرعية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/samhan-farm-in-diriyah.jpg
الدرعية,جامع محمد بن عبدالوهاب بالدرعية,يعود تاريخه إلى الدولة السعودية الأولى، تعرف على موقع مسجد محمد بن عبدالوهاب، وسبب تسميته، مواد بنائه.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/muhammad-ibn-abd-al-wahhab-mosque.jpg
الدرعية,متاحف الدرعية,متاحف زاخرة بما شهدته الدرعية في ماض عريق.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/explore-museums-of-diriyah.jpg
الدرعية,الدرعية التاريخية,اكتشف ما يجعل الدرعية واحدة من أكثر الوجهات تميزًا في السعودية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/historical-dir-iyah.jpg
الدرعية,يوم عائلي في الدرعية, أماكن مناسبة لرحلة لا تنسى مع عائلتك في الدرعية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/family-day-in-diriyah-salwa.JPG
الدرعية,التجول على الدرجات الهوائية بالدرعية,لا تفوت تجربة التجول بالدراجات الهوائية في أجواء الدرعية العليلة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/bicycles-in-spin.jpg
الدرعية,متنزه البجيري التراثي السياحي بالدرعية,استمتع بأجمل الأوقات في منتزه البجيري بمنطقة الدرعية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/albujairi-heritage-tourist-park.jpg
الدرعية,وادي حنيفة,اكتشف وادي حنيفة الشهير، وتعرف على أنشطة رائعة على ضفافه.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/wadi-hanifah.jpg
الدرعية,سد وادي صفار,طبيعة وارفة وأنشطة متنوعة في سد وادي صفار,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/wadi-safar.jpg
الدرعية,ميدان السهام بالدرعية,ما بين رمي السهام في الأجواء المفتوحة، وغرفة التحطيم، وألعاب ممتعة في صالة مغلقة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/archery-range-in-diriyah.jpg
الدرعية,ملاعب المونديال بالدرعية,15 ملعبًا مجهزًا بكامل الخدمات لهواة الرياضة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/mondial-courts.jpg
الدرعية,مزرعة صوفي,حيث تصحبك الطبيعة في رحلة ريفية بمزرعة صوفي بالدرعية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/sofie-farm-in-diriyah.jpg
الدرعية,مطل الوادي,مطل مجهز بكامل الخدمات، للحظات جميلة لا تنسى.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/albujairi-restaurants.jpg
الدرعية,ممشى الدرعية,جولة مشي وسط نسيم الدرعية العليل.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/diriyah-walk.jpg
الدرعية,سد غبيراء,تعرف على سد غبيراء المهيب في الدرعية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/ghubaira-dam-in-diriyah.jpg
الدرعية,حي غصيبة,أقدم أحياء المنطقة، ومهد نمو الدرعية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/ghasiba-district-in-diriyah.jpg
جدة,أنشطة لأطفالك في جدة,من الفنون إلى الأنشطة الرياضية المختلفة الملائمة للأطفال الباعثة على الالهام والمرح.,https://www.visitsaudi.com/content/dam/no-dynamic-media-folder/week-3-articles/kids-activities-in-jeddah/Jeddah_Color-Fly-2-flip.jpg
جدة,تجول في أبرز متاحف جدة,اكتشف إرث تاريخي يعود لآلاف السنين. تعرف على هذا الإرث عبر زيارة متاحف جدة .,https://www.visitsaudi.com/content/dam/saudi-tourism/media/do/1920x1080/00hero_Jeddah_Museum-of-Abdul-Raoof-Hasan-Khalil-2.jpg
جدة, جدة التاريخية,بُنيت منطقة البلد &quot;جدة التاريخية&quot; على أرض ساحلية جذابة.,https://www.visitsaudi.com/content/dam/articles/summer-night-adventures-in-al-balad/Jeddah_Balad-at-night-6ar.jpg
جدة,جائزة السعودية الكبرى للفورمولا 1, أكبر حدث رياضي وترفيهي يقام في المملكة العربية السعودية.,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/stc-saudi-arabian-grand-prix.jpg
جدة,معارض الفنون في جدة," style=""direction: rtl;"">تفتخر مدينة جدة بكونها عاصمة الفن في المملكة.",https://www.visitsaudi.com/content/dam/no-dynamic-media-folder/manifest/Jeddah_Safeya_Bin_Zagr.png
جدة,نافورة الملك فهد,قوموا بزيارة ليلية لمشاهدة عرض أضواء أطول نافورة في العالم.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/articles/a233-king-fahd's-fountain/1920x1080/A233 King Fahd_s Fountain_1.jpg
جدة,فقيه أكواريوم," style=""direction: rtl;""> معرض بحري فريد من نوعه يستضيف أكثر من 200 نوع من الأسماك.",https://www.visitsaudi.com/content/dam/saudi-tourism/media/articles/a161-fakieh-aquarium/image-2/1920x1080 (1).png
جدة,متحف الطيبات,يقدم متحف الطيبات نظرة خاصة على تاريخ جدة وثقافتها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/articles/a175-tayebat-museum/image-1/1920x1080 3 (1).png
جدة,جدة آرت بروميناد," style=""direction: rtl;""> منطقة سكنية هادئة أمام البحر داخل واجهة جدة البحرية، وتمتد حتى &quot;المارينا&quot;.",https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/Jeddah_Art_Promenade_Hero_Banner.jpeg
جدة,نادي جدة لليخوت," style=""direction: rtl;"">تجربة تستقر في ذاكرة الزوار, يعد مرسى نادي جدة لليخوت الأول من نوعه على البحر الأحمر.",https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/Yacht_Hero_Banner.jpeg
جدة,الأساليب المعمارية في جدة," style=""direction: rtl;"">طابع العمراني لبيوت مدينة جدة متشرب بالفنون وله ثقافته الغنية الممتدة لعقودٍ قديمة.",https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/A-street-in-Old-Jeddah.jpg
جدة,شواطئ جدة,تطل مدينة جدة على البحر الأحمر، وتُعرف بشواطئها المميزة والمفعمة بالحياة.,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/Nice_sculptures_the_Jeddah_corniche.jpg
جدة,الجولات البحرية," style=""direction: rtl;"">استمتع بتجربة الجولات البحرية وسط مياه البحر الأحمر، انطلاقًا من شواطئ منطقة شرم أبحر.",https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/Sea-Cruse-Hero-image.jpg
جدة,الموسيقى في جدة," اتصال عروس البحر الأحمر بالحضارات المجاورة جعلها مهدًا للفنون والموسيقى. <br />
",https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/jeddah-music.jpg
جدة,صالات السينما,صالات السينما وممرات ملونة تأخذك لعوالم شيقة.,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/Cinema-in-jeddah.jpg
جدة,ملعب الجوهرة,ثاني وجهة رياضية في جدة مليئة بالإثارة والحماس.,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/football-feild-banner.png
جدة,أماكن تفتح في جدة 24 ساعة,"تُعرف مدينة جدة بأنها لا تعرف النوم، ولا تتوقف عن الحياة، وتحضر فيها روح البهجة طيلة الوقت.<br />
",https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/jeddah-nights.jpg
جدة,جدة سوبر دوم,أكبر مبنى من غير أعمدة، وأكبر قبة كروية فراغية، وأكبر قبة بسقف متصل في العالم.,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/actors-performing.jpg
جدة,صيد السمك في جدة,الإبحار وصيد السمك، أو صيده على أرصفة الشواطئ، متعة أصيلة في المدن الساحلية مثل جدة.,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/fishing-in-jeddah.jpg
جدة,مركز ايس لاند الترفيهي, التزلج على الجليد و تجارب ترفيهية  ما بين لعب البلياردو والبولينج، والكارتينج.,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/kids-playing-golf.jpg
جدة,تجربة ركوب الخيل العربية,يعد ركوب الخيل إحدى الرياضات الشيقة والتجارب الفريدة التي ستختبرها في مدينة جدة.,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/horse-riding-in-jeddah.jpg
جدة,ثول, أنت على موعد مع أجمل سواحل البحر الأحمر، والعديد من الفعاليات البحريةالمدهشة.,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/beaches-of-jeddah.jpg
جدة,ملاهي الشلال,استمع إلى صرخات الإثارة المنبعثة من الألعاب وأنت تمر على الكورنيش الشمالي,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/Alshallal-roller-coaster.jpeg
جدة,واجهة جدة البحريَّة,بين الشّمس والبحر والرّياضة على السّاحل الحديث لمدينة جدة,https://www.visitsaudi.com/content/dam/jeddah/attractions-in-jeddah/waterfront-fountain-mobile.jpg
جدة,البلد,اكتشف المنطقة المسجلة في قائمة اليونسكو للتراث العالمي الإنساني,https://www.visitsaudi.com/content/dam/articles/al-balad-street-food-crawl/Jeddah_hero_mobile.jpg
مكة المكرمة,قصر البياضية في مكة المكرمة,تعرف على أقدم قصور مكة المكرمة الذي يتجاوز عمره 240 عامًا.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/bayadiyah-palace.jpg
مكة المكرمة,مسجد الجعرانة, أحد مواقيت مكة المكرمة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/masjid-al-juranah.JPG
مكة المكرمة,اكتشف مسجد نمرة في عرفات,معلم إسلامي وذكرى خالدة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/masjid-nimrah-in-arafat-makkah.jpg
مكة المكرمة, قصر كوير,من شواهد تطور العمران الحجازي.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/coeur-palace-in-makkah.jpg
مكة المكرمة,المسجد الحرام بمكة المكرمة, أبرز مكونات الحرم المكي.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/grand-mosque-makkah.jpg
مكة المكرمة,جولة بحي حراء الثقافي,معلم سياحي فريد.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/hira-cultural-district-tour-in-makkah.jpg
مكة المكرمة,مجمع الملك عبدالعزيز لكسوة الكعبة المشرفة,مصنع لحياكة حلة الكعبة المشرفة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/the-kiswa-factory-of-the-holy-kaaba-in-makkah-banner.jpg
مكة المكرمة,دار عبدالله بن سليمان,عمارة حجازية تتجاوز 8 عقود.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/dar-abdullah-bin-sulaiman-in-makkah-banner.jpg
مكة المكرمة,اكتشف بئر طوى التاريخية,حيث نزل الرسول في طريقه لفتح مكة وحجة الوداع.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/tawa-well-makkah.jpg
مكة المكرمة,منطقة الجمرات في منى,حيث تؤدى أحد مناسك الحج.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/jamarat-area-in-mina-makkah.jpg
مكة المكرمة,مسجد البيعة,حيث كانت البيعة الأولى في الإسلام.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/masjid-albayaah-in-makkah.jpg
مكة المكرمة,تعرف على مسجد التنعيم,حيث أحرمت أم المؤمنين.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/masjid-altaniem-in-makkah.jpg
مكة المكرمة,مسجد الجن,معلم إسلامي، وحدث فريد.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/masjid-al-jinn-makkah.jpg
مكة المكرمة, مسجد الخَيف في مشعر منى,حيث خطب الرسول في حجة الوداع.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/masjid-alkhaif-in-makkah.jpg
مكة المكرمة,مقبرة أم المؤمنين ميمونة بنت الحارث, المكان الذي دفنت به آخر زوجات الرسول -صلى الله عليه وسلم-.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/maimuna-bint-al-harith-cemetery.jpg
مكة المكرمة,أسبلة المياه على طريق الحج القديم, منشآت معمارية من الثقافة الإسلامية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/aqueducts-on-the-old-pilgrimage-route-makkah.jpg
مكة المكرمة,مكتبة الحرم المكي الشريف,سياحة بين العلم والفكر والثقافة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/the-holy-mosque-of-Makkah-library.jpg
مكة المكرمة,حديقة الحسينية الجديدة,أكبر حديقة في مكة المكرمة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/makkah-articles/alhusainiah-park-in-makkah.jpg
المدينة المنورة,قصر عروة ابن الزبير,أشهر قلاع المدينة المنورة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/urwah-bin-zubair-palace-in-madinah.jpg
المدينة المنورة,قلعة قباء التاريخية,تعرف على أشهر قلاع المدينة المنورة التاريخية، بتفاصيل بنائها الأثري المتين.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/historical-quba-castle.jpg
المدينة المنورة,سد البنت في خيبر الأثرية,جهز الكاميرا، واستعد لتصوير أقدم سدود المملكة العربية السعودية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/al-bint-dam.jpg
المدينة المنورة,مسجد علي بن أبي طالب,ستتعرف على مسجد علي بن أبي طالب الأثري، الذي بني قبل قرون.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/masjid-ali-bin-abi-taleb-banner.jpg
المدينة المنورة,سكة حديد الحجاز,تعرف على سكة حديد الحجاز، وشاهد آثار عرباتها المتبقية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/articles/a145-hejaz-railway/image-1/Hijaz_Railway_Banner.jpg
المدينة المنورة,تعرف على مسجد العنبرية,استكشف أحد أهم المساجد الأثرية في المدينة المنورة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/masjid-al-anbariya-in-al-madina.jpg
المدينة المنورة,ومضة عن المساجد السبعة,تعرف على أبرز معالم العمارة الإسلامية في المدينة المنورة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/the-seven-mosques.jpg
المدينة المنورة,مسجد القبلتين,أيقونة تاريخية إسلاميّة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/masjid-al-qiblatayn.jpg
المدينة المنورة,موقع معركة بدر,تعرف على المكان الذي حدثت فيه أهم المعارك المفصلية في التاريخ الإسلامي.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/battle-of-badr-location-in-madinah-banner.jpg
المدينة المنورة,مسجد الغمامة ,شاهد واحد من الآثار الإسلامية في المدينة المنورة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/masjid-alghamamah-madina.jpg
المدينة المنورة,محطة البوير,سافر عبر الزمن في محطّات قطار سكة حديد الحجاز بالمدينة المنورة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/al-buwair-station-in-madinah-banner.jpg
المدينة المنورة,متحف المدينة المنورة وسكة حديد الحجاز  ,نظرة على تاريخ المدينة العريق.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/madinah-and-alhijaz-railway-museum.jpg
المدينة المنورة,مسجد قباء,أول مساجد المسلمين قاطبة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/masjid-quba-al-madina.jpg
المدينة المنورة,جبل أحد ,أشهر المعالم التاريخية في المدينة المنورة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/uhud-mountain-in-al-madinah-banner.jpg
المدينة المنورة,موقع غزوة الخندق,اكتشف واستشعر تفاصيل قصة إحدى أهم المعارك الإسلامية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/battle-of-alkhandaq-location-in-madinah.jpg
المدينة المنورة,مسجد الإجابة التاريخي,حيث استجاب الله لدعاء رسوله.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/alIjabah-mosque-in-madinah.jpg
المدينة المنورة,مقبرة شهداء أحد ,تعد مقبرة شهداء أحد واحدة من أبرز المعالم التاريخية التي يقصدها زائرو المدينة المنورة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/shuhada-uhud-cemetery-madinah.jpg
المدينة المنورة,سقيفة بني ساعدة ,استحضر اللحظة الفارقة في تاريخ الإسلام.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/saqifah-bani-saidah-madinah.jpg
المدينة المنورة,مسجد الميقات أو مسجد آبار علي ,تعددت أسماء مسجد الميقات في المدينة المنورة، وتميز بتصميمه الهندسي.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/al-madinah/masjid-al-miqat.jpg
الطائف,متحف الشريف بالطائف,جولة منوعة ومثيرة بين زوايا متحف الشريف التراثي، أحد أكبر متاحف السعودية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/alsharif-museum.jpg
الطائف,اكتشف متاحف الطائف,في الطائف متاحف ساحرة بعمرانها وعريقة بمحتوياتها، لا تفوت فرصة زيارتها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/al-sharif-museum-in-taif.jpg
الطائف,ورد الطائف: عبق تاريخي,تتعطر الذاكرة بعبير الورد الطائفي عند زيارتك لمدينة الطائف، ففي كل وجهة تحييك الورود.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/Taif-rose.jpg
الطائف,ماء الورد في السعودية,يحظى ماء الورد في السعودية بأهمية كبيرة واستخدام شائع، ألق نظرة على ماء الورد الطائفي الشهير.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/rose-water-making.jpg
الطائف, جبل الهدا في الطائف,يعد جبل الهدا من أشهر الجبال السعودية، وأبرز قمم الطائف الشاهقة، وجهتك القادمة بانتظارك.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/alhada-mountain-in-taif.jpg
الطائف,حديقة الردف بالطائف,استمتع بأجمل اللحظات في حديقة الردف بالطائف.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/rudaf-park.jpg
الطائف, منتزه الملك عبدالله بالطائف,منذ افتتاح منتزه الملك عبدالله إلى اليوم وهو الوجهة الأمثل لقضاء أوقات عائلية مفعمة بالترفيه.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/king-abdullah-park.jpg
الطائف,منتزه سيسد الوطني بالطائف,تخيل محمية برية في قلب الطبيعة مجهزة لرحلة متكاملة الخدمات تقضي بها أطيب أوقاتك!,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/saysed-national-park-in-taif.jpg
الطائف,حديقة الحيوانات بالطائف,حديقة الحيوانات الشهيرة والمتكاملة بالطائف تعتبر وجهة مثالية للكبار والصغار! ,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/al-taif-zoo.JPG
الطائف,جبل الشفا بالطائف,مشهد يعانق فيه بياض الضباب جبال السروات المملوءة بعبق أشجار العرعر، جبل الشفا الشاهق وجهتك التالية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/al-shafa-mountain.jpg
الطائف, تلفريك الهدا بالطائف,تعرف على التلفريك الأطول في الشرق الأوسط والوجهة الأمثل لقضاء رحلة عائلية استثنائية في الطائف.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/al-hada-cable-car-in-taif.jpg
الطائف,واحة الطيور ,إليك أبرز الخيارات التي تستحق زيارتك أثناء تجولك في مدينة الطائف، لا تفوت رؤية أكثر من 400 طائر والتعرف عليها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/birds-park-in-taif.jpg
الطائف,مصانع منتجات الورد بالطائف,تعرف على مصانع منتجات الورد الطائفي الأجود بمدينة الطائف.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/rose-products-taif.jpg
الطائف,بوابة المغامرات,اصطحب أطفالك للوجهة المثالية التي ستعلق ذكرياتها في أذهانهم في بوابة المغامرات.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/taif-adventure-gate.JPG
الطائف,جبل دكا بالطائف,جبل دكا في مدينة الطائف، إطلالة تعانق السحاب ونزهة متكاملة تستحق التجربة لهواة التسلق ومحبي الطبيعة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/dakka-in-taif.jpg
الطائف,بولينج سيتي,تخيل مكاناً واحداً بعدد لا يحصى من احتمالات الحظ والمهارة، تحدى أصدقائك واصنعوا ذكرياتكم سوياً.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/bowling-city-in-taif.jpg
الطائف,قرية الكر السياحية بالطائف,تعرف على أكبر مدينة مائية ترفيهية في المملكة العربية السعودية واصطحب إليها العائلة أو الأصدقاء.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/al-kar-tourist-village.jpg
الطائف,منتزه الجبل الأخضر,رحلة متكاملة في منتزه الجبل الأخضر البديع بالطائف.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/aljabal-alakhdar-park.jpg
الطائف,فوهة الوعبة ,تعرف على أكبر وأعمق فوهة بركانية المملكة العربية السعودية، فوهة الوعبة بالطائف!,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/al-wahbah-crater-in-taif.jpg
الطائف,حديقة الفيصلية,حديقة الفيصلية بالطائف أحد أجمل الحدائق العائلية المتكاملة والمبهجة لجميع الأعمار.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/garden-alfaisaliah.JPG
الطائف,قصر جبرة التاريخي,تعرف على القصر الذي يمتد تاريخه إلى عهد المؤسس الملك عبدالعزيز آل سعود.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/jabra-historic-palace-historic.jpg
الطائف,قصر الكعكي,قصر الكعكي الآسر بعمرانه المجيد، من طراز بنائه الروماني القديم إلى الروح الحجازية التي اكتسى بها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/al-kaaki-palace-taif.JPG
الطائف,سد السملقي,تحتوي الطائف على عدد من السدود العريقة، وليست سدود الطائف كغيرها، تعرف على أبرزها وما يمثله تاريخياُ وأثرياً.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/al-sumalaqy-dam-location.jpg
الطائف,اكتشف خيارات متنوعة في الطائف,عطلة نهاية الأسبوع تتحول إلى مغامرة في ربوع الطائف، إليك قائمة بالأنشطة الترفيهية التي يمكن أن تقوم بها!,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/aljabal-alakhdar-park-taif.jpg
الطائف,الطائف: مدينة لمحبي التنزه ,في الطائف خيارات عديدة مثالية للتنزه والاستمتاع بالهواء الطلق، إذا كنت من محبي التنزه إليك قائمة بأفضلها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/saysed-park-in-taif.jpg
الطائف,رحلة على طريق الهدا,خطط لرحلتك الشيقة على طريق الهدا، وتعرف على الأنشطة التي يمكن أن ترافق صعودك إلى قمته.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/altaif/alhada-road.jpg
أبها,حي النصب في أبها,تراث حي النصب التاريخي، ومعالمه العريقة وكيف تصل له.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/abha-/alnasab-district-building.jpg
